id,Job Title,Extracted Skills
0,Flutter Developer,"amazon web services, flutter, power bi, powershell, r, web3, webpack, websocket"
1,Django Developer,"ai, api, communication, django, dl, flask, go, json, linux, lua, python, r, rest, sql, unit testing"
2,Machine Learning,"ai, amazon web services, communication, data analysis, data engineering, deep learning, design patterns, go, java, keras, machine learning, power bi, powershell, python, pytorch, r, solid, spark, statistics, system design, tensorflow, web3, webpack, websocket"
3,iOS Developer,"ai, api, apis, architecture, ios, lua, networking, neural networks, objective-c, r, solid, teamwork"
4,Full Stack Developer,"agile, ai, analytical, angular, ansible, api, apis, architecture, circleci, clean code, communication, css, deep learning, dl, git, go, google cloud, html, http, java, javascript, leadership, less, machine learning, ml, networking, oracle, problem solving, r, react, rest, restful, salesforce, sass, scala, scikit-learn, selenium, sklearn, tableau, vue"
5,Java Developer,".net, ai, amazon web services, analytical, apache, apache spark, architecture, artificial intelligence, automation testing, bitbucket, blockchain, c#, c++, cassandra, chai, chef, ci/cd, circleci, clean code, communication, computer vision, confluence, couchdb, crm, css, cybersecurity, cypress, design patterns, dl, docker, elasticsearch, erp, gcp, git, github, github actions, gitlab, gitlab ci, go, google cloud, grpc, html, huggingface, integration testing, ionic, javascript, junit, lua, machine learning, mercurial, microservices, ml, mocha, mysql, natural language processing, networking, neural networks, objective-c, opencv, oracle, problem solving, pytorch, r, react, react native, react.js, reactjs, rest, restful, salesforce, scala, scikit-learn, scipy, scrum, security, sketch, soap, solidity, spacy, sql, sqlite, statistics, tcp/ip, teamwork, typescript, unit testing, vite, webpack, websocket"
6,Full Stack Developer,"agile, ai, angular, api, apis, architecture, dl, elasticsearch, erp, go, html, http, java, javascript, ml, mongodb, nodejs, nosql, r, react, redis, sql, system design"
7,JavaScript Developer,"azure, communication, css, graphql, html, java, javascript, ml, natural language processing, nodejs, r, react, reactjs, rest, solid, swiftui"
8,DevOps Engineer,"ai, apache, api, architecture, bash, bitbucket, chef, clean code, cybersecurity, devops, dl, git, github, github actions, gitlab, gitlab ci, go, hadoop, http, java, junit, linux, networking, oop, php, puppet, python, r, ruby, scala, scikit-learn, security, solid, solidity, sqlite, tcp/ip, unit testing, vite"
9,Software Engineer,"ai, amazon web services, analytical, api, automation testing, c++, communication, dl, erp, git, go, google cloud, http, https, jenkins, linux, power bi, powershell, problem solving, python, r, redis, rest, rest api, teamwork, unix, web3, webpack, websocket"
