id,Job Title,Summary
0,Flutter Developer,We are looking for hire experts flutter developer. So you are eligible this post then apply your resume.
1,Django Developer,Experience working with API Frameworks (Django/flask). JSON experience preferred.
2,Machine Learning,"Experience in software development using Python, Java or a similar language. Dedicated, makes things happen."
3,iOS Developer,"Experience working with iOS frameworks such as Core Data, Core Animation, Core Graphics and Core Text. Responsible for working on different layers of the iOS apps."
4,Full Stack Developer,work-life balance family event movie night art event holiday festival “ top dog ” gym equipment fitness class massage therapist personal trainer “ sit & stay ” café serving fresh breakfast lunch option starbucks cart—productivity finest ! “ lil ’ paw ” learning center onsite childcare facility volunteer event petsmart charity submit resume
5,Java Developer,"Candidates need to demonstrate experience in the following skillsets: *
· Proven technical expertise in the design, development, coding, testing, and debugging of enterprise software. · Experience working with relational databases."
6,Full Stack Developer,senior full stack developer \- 1800026h cwt looking senior full stack developer proven back-end skill well strong front-end skill role ’ use cutting-edge technology help develop next generation business travel solution million user worldwide participate lead architecture review technology standard definition lead effort find implement support new technology framework standard experiment implement propose new process technology develop back-end system designed scale analyze business software requirement develop back-end software test learn new technology broaden tech stack provide tier 3 production support handle live production issue participate develop agile software development process qualification b.sc degree computer science engineering relevant field equivalent industry experience minimum 2 year experience developing following nodejs java experience nosql solution mongodb elasticsearch redis experience react/angular knowledge single-page application spa development advantage experience javascript cs html responsive ui & cross browser advantage experienced developing rich large-scale web application advantage experience developing robust http apis back-end service passion technology building product team player excellent interpersonal skill self-motivated independent learner eligible candidate must valid passport able travel israel 6 week training shortly hired primary location us-il-chicago work home employment type standard job family information technology scope global travel yes 15 time shift day job organization p & t_hotel product experience level 3 5 year job posting may 9 2018 equal opportunity employer/affirmative action employer organization discriminate employment practice due applicant ’ race color religion sex national origin veteran status disability status sexual orientation gender identity federal state local protected class
7,JavaScript Developer,"Job Description:

ReactJS + NodeJs, Azure Functions, and GraphQL capability

Strong hands on experience on javascript frameworks like reactjs
Having hands on experience on nodejs
Hands on experience on Azure function and integrations
Strong hands on experience on HTML5/CSS3/Javascript
Excellent written and verbal communication. Skills Required :

ReactJS, NodeJS, Azure Functions, GraphQL,

Job Code : #KL-DP3PZB64"
8,DevOps Engineer,"tools such as; Puppet, Chef, Cloudify, CFEngine. Strong “hands-on” experience with open source and provisioning tools such as; Cobbler, Foreman, PHP, and Linux or other likewise open source systems, tools /utilities."
9,Software Engineer,"We are all together on a quest to provide game changing storage solutions. Job Description


Job Location: Pune

RED Senior Software Engineer – REST API Dev

Job Description

Responsibilities:

We are looking for a Senior Software Engineer for our RED Tintri Storage engineering team who will design, build and deliver the configuration and deployment tools of DDN RED software storage product:
Participate in the definition and implementation of the RED REST API allowing to configure, deploy and manage the RED solution on premises and on cloud."
